job_title,job_details,job_keyword_true,LLM_answer,Accuracy
senior system engineer - eng,"company description beyondsoft international (singapore) pte. ltd. was set up in 2007 and established as the regional headquarters for the southeast asia (sea) and european markets in september 2015. based on our vision of ""using technology to promote social progress, economic development and become a global customer preferred partner"" and our concept of ""beyond your expectations"", beyondsoft is committed to provide our customers in countries along the ""belt and road"" with comprehensive solutions and products and creating commercial value for customers to realizing continuous businesses development. our core business includes: it development services providing customers with it consulting, software research and development, software and hardware testing, system integration and operation and maintenance, data analysis and other services; new retail solutions and products through intelligent products, helping small and medium-sized enterprises (smes) realize the digital transformation of their daily operations; internet of things (iot) platform and solutions comprehensive use of iot, artificial intelligence, big data, cloud computing and other technologies to provide iot solutions for intelligent upgrades in cities, parks, buildings and industries, to create a smart future. for more information, please visit responsibilities manage and monitor all installed systems and infrastructure install, configure, test, and maintain operating systems, application software and system management tools proactively ensure the highest levels of systems and infrastructure availability monitor and test application performance for potential bottlenecks, identify possible solutions, and work with developers to implement those fixes maintain security, backup, redundancy and bcp strategies participate in the design of information and operational support systems liaise with vendors and other it personnel for problem resolution manage the vmware environment provide enterprise-wide support to a high level of microsoft windows support the hpe and hitachi environments qualifications diploma or bachelors degree in computer science/ information technology/ engineering or equivalent minimum 5 years of knowledge on the following technologies: vmware vcenter: esxi, srm, vrm security operation and technologies such as privileged access management, endpoint protection platform, firewall system monitoring backup and recovery windows server os with good understanding of windows ad, dns, gpo, and failover clustering san storage with good understanding of remote site replication (knowledge of administrating hitachi virtual storage platform would be an added advantage) possess good understanding of public key infrastructure and network access control good communication skills and able to work independently able to provide support in a 24/7 environment and would require to work on-call at least 1 week every month please note that your application will be sent to and reviewed by the direct employer - beyondsoft international (singapore) pte ltd",engineer,engineer,True
expression of interest - implementation consultant,"we are inviting professionals in high-growth industries who are thinking about their next move or looking for a new opportunity to join our expanding talent pool. the marlee talent pool is a pilot project designed to: help job seekers get discovered by our partners based on their anticipated hiring needs. provide optional support and resources for job seekers in their career endeavours. help individuals understand, and bring out the best in themselves and each other. the marlee talent pool process: once you express your interest, you will be asked to complete the marlee work style assessment which measures 48 key attitudes and motivations in the context of work. on completion, you will be automatically added to our growing talent pool and contacted as new opportunities arise. about marlee (fingerprint for success) backed by 20+ years of research, marlee__ revolutionary predictive analytics have achieved over 90% reliability in forecasting personal and team motivations, behaviours, and performance. ultimately, we help people find purpose and fulfillment at work, and help build and scale high-performing teams. keep in mind that joining our talent pool does not guarantee a job offer. we aim to balance your technical skills with the results of your marlee work style assessment to match the hiring needs of our partners. your feedback is a gift! write to us via: to help co-create the future of recruitment, together. #j-18808-ljbffr",recruiter ,manager,False
infrastructure engineer,"we are seeking a highly skilled and experienced hybrid it engineer to manage, maintain, and optimize our windows-based infrastructure and associated technologies within our hybrid it environment. the ideal candidate will be responsible for ensuring the health, performance, and security of windows servers and systems while collaborating with cross-functional teams to implement and support enterprise-wide solutions. key responsibilities: implement and manage windows-based infrastructure and associated technologies. monitor and maintain the health, performance, and security of windows servers and systems. administer active directory, group policy, dns, dhcp, and related services. configure and troubleshoot hypervisor nutanix virtualization platforms (e.g., vmware, hyper-v). install, configure, and manage windows servers and services, including iis, sql server, exchange 2019 and skype 2019 collaborate with cross-functional teams to implement and support enterprise-wide solutions. perform routine system and application updates, patches, and upgrades. develop and maintain documentation related to system configurations, processes, and procedures. provide level 2 and level 3 support for windows-related issues. participate in on-call rotation for after-hours support as needed. qualifications: bachelor's degree in a relevant field. at least 3 to 5 years of experience in administering windows-based systems and infrastructure. proficiency in windows server operating systems (2019). strong understanding of active directory, group policy, dns, and dhcp. experience with virtualization platforms such as vmware and hyper-v. knowledge of scripting languages (e.g., powershell) for automation and scripting tasks. familiarity with monitoring tools and systems management solutions. excellent problem-solving and troubleshooting skills. strong communication and interpersonal abilities. certifications such as mcse, mcsa, or equivalent are a plus. additional preferred skills: microsoft system center suite (scvmm, scom, sccm, wsus) exchange 2019 and skype 2019 administration netbackup 10.x and data domain for backup and recovery solutions nutanix hci for virtualization and storage solutions nessus for vulnerability assessment f5 load balancers and rsa security solutions splunk for log management and data analysis",engineer,engineer,True
auxiliary police officer #urgent,"are you looking for an exciting opportunity to serve your community and make a difference? we are currently seeking dedicated individuals to join our team as auxiliary police officers. as an auxiliary police officer, you will work alongside our regular police force, providing support and ensuring the safety and security of our community.( joining bonus up to $35,000) job responsibilities: 1. safeguard premises and key installations. 2. conduct patrols on foot or in a vehicle to deter criminal activity. 3. provide arm protection services 4. conduct crowd and traffic control 5. provide escort and protection service during community events, parades, and other public gatherings. 6. write detailed reports on incidents, accidents, and activities during shifts. 7. assist with crowd control and maintain order in public places. 8. collaborate with other law enforcement agencies and emergency services as necessary. requirements: 1. minimally 3 gce ___ level credits & above 2. ippt and shooting is required 3. higher qualification will be considered for higher ranks 4. excellent communication and interpersonal skills. 5. ability to make quick decisions and remain calm in stressful situations. 6. willingness to do shift duties 7. full sponsored training is provided for successful candidates. benefits : -annual increment -medical coverage -corporate discount -insurance coverage -rank promotion how to apply: please submit your resume at 96410267 for quick response. only shortlisted candidates will be contacted for further assessment",police,defence,False
sales executive,"join us as a sales executive. no experience? no problem. we are looking for open-minded individuals who have strong passion for achievements and keen to make a difference in the lives of others. hence, we are willing to invest on the right candidates to acquire the right skills to be an effective sales person.if you desire to have a sales career, but lack the knowledge and experience, yet desire a company that train you from scratch, this is the position you should apply. roles & responsibilities: market research and identification of market opportunities and leads marketing services and products to meet clients_ unique needs and goals. providing professional crafted solutions to individuals providing business solutions to corporate clients building good rapport with potential and existing clients key point of contact between company and clients coordinating with various stakeholders to fulfil client__ requests maintain knowledge of all product and services of the company assisting in the company business and development planning engaging in feedback loops between client and company comprehensive training provided: positioning of the product(s) products knowledge tactical pitching of the product(s) improvement in communication skills preparing of presentation tools closing techniques management techniques requirements: local diploma or degree holder in any discipline entry level are welcomed to apply as no experience is required individuals looking for a change in career are also welcomed skills, traits, attributes that we are looking for: good communication & interpersonal skills negotiation skills excellent time management achievement-oriented positive, self-motivated, coachable and ambitious individuals ability to connect and influence benefits: basic ($2500 _ $5000) + commission quarterly and annual bonus incentives further details will be discussed during interview. candidates who are interested please send in your resume. we regret that only shortlisted candidates will be notified.",office worker,manager,False
"manager, project & program risk management (3-year contract) (5804)","you will be part of the enterprise risk management unit to strengthen and drive a sustainable risk culture within changi east (ce), and be part of our effort to: sustain and improve on ce__ risk governance and reporting, including advising and interacting with ce's senior management, project directors and stakeholders on project and programme risk management. partner with ce's projects/ packages on risk engagement activities to facilitate comprehensive risk identification, assessment, mitigation and reporting, including but not limited to insurance programme management. maintain and enhance oversight on risk identification, monitoring and controlling activities that include risk scanning and key risk indicators (kris) reviews. drive risk awareness and risk competency improvement across ce's projects/ packages, through training and communications. drive risk management process productivity and excellence, leveraging on risk management it system and other tools. lead or partake in projects and initiatives which strengthen ce's risk culture. requirements: good degree. at least 5 years of relevant working experience in the building industry. certifications in design for safety/ project risk management/ project management will be advantageous. exposure to civil and structural engineering / mechanical and electrical engineering/ architectural experience will be advantageous. highly-driven, resourceful, independent, meticulous and analytical, with good stakeholder management skills.",manager,manager,True
"sales manager singapore, malaysia and brunei","job description: at abbott structural heart, we__e helping rebuild better hearts and improve patients_ quality of life with an improved benefit-to-risk profile by delivering better therapies, better evidence, and better experiences. key purpose of role: ensure that the assigned country meets or exceeds sales objectives. work with their country manager to identify and evaluate market opportunities and sales potential and to establish and achieve annual sales objectives in the assigned country. manage sales team in assigned territory to expand our market share by promoting sales activities and position the company as the leader in the market lead and ensure that the technical sales representatives provide instant technical support to physicians during device implant and meet sales target assigned key responsibilities: manage sales team in assigned territory to expand our market share by promoting sales activities and position the company as the leader in the market. lead and ensure that the technical sales representatives provide instant technical support to physicians during device implant and meet sales target assigned. hold and own responsibility for the quarterly aop (annual operating profit) numbers. create marketing programs for assigned territory as guided by country manager and asia pacific marketing team to drive business growth and market expansion. create education centers for luminary reference and customer training as guided by asia pacific marketing team. manage and coordinate associated responsibilities such as logistics and venue for trade shows, product launches and customer events. travel and participate in marketing events when needed as assigned by the country manager. qualifications: university degree (or equivalent) in science, healthcare, or business discipline. 5+ years of related work experience within structural heart, electrophysiology or healthcare industry. strong sales and clinical orientation, experience with products for use in cardiology field. experience in ot or icl is an added advantage. self-drive to identify, initiate and implement projects independently good verbal and written communication skills in english, another language is an asset strong analytical and diagnostic skills in problem solving experience with working on tenders is an asset can adapt to long and short-term business trips. other functions and responsibilities handle and process customer feedbacks/complaints/product experience as applicable in timely manner and according to abbott medical policy and requirement. execute the job responsibilities according to applicable standard operating procedures of abbott medical. ensure applicable standard operating procedures of abbott medical are executed. the base pay for this position is n/a in specific locations, the pay range may vary from the range posted. job family: sales force division: sh structural heart location: singapore > singapore : duo tower additional locations: work shift: standard travel: yes, 25 % of the time medical surveillance: not applicable significant work activities: not applicable",manager,manager,True
android: developer,"job description kotlin coroutine flows deep understanding of mvvm architecture junit benefits what we can offer you diverse and dynamic work environment work-life balance and support for career development an amazing life inside the element! annual leave. medical leave, insurance coverage, yearly appraisal",engineer,engineer,True
"assistant director, business development (r00010380)","the innovation & entrepreneurship (i&e) office at ntu is established to consolidate, synergise and coordinate all i&e related engagement, collaborations and communications across all colleges, schools and innovation drivers in ntu. the office seeks to accelerate the university__ efforts to translate ntu__ scientific discoveries, innovations and creative work into technological and social entrepreneurship activities that benefit industry and society. responsibilities identifies, fosters and strengthens relationships with external partners (including alumni, companies, investors and government agencies) to increase the depth and diversity of collaborative collaboration partnerships for ntu i&e. engages and attracts target partners, acting as a point of liaison between ntu stakeholders, including ntu entrepreneurs (faculty, researcher and students) and external partners to identify new opportunities for mentorship, funding, collaboration, commercialisation and investment. devises and spearheads new initiatives, activities, events and programmes for two-way engagement and interaction between external partners and ntu community to generate external interest in ntu i&e plans and cultivate an entrepreneurial mindset within ntu. manages communication system to maintain and enhance relationships and knowledge sharing between ntu internal stakeholders and target partners. analyses, develops and implements partnership engagement strategies for ntu i&e. develops and implements a streamlined mutually beneficial alumni engagement plan to cultivate and leverage alumni relations to promote and support i&e in ntu. manages the process in establishing partnership agreements with external stakeholders. supports the business development lead on partnership engagement matters and activities. requirements minimum bachelor__ degree in engineering, science or business. minimum 5 years of relevant experience in business development/marketing. prior experience in engaging with vcs/investors and/or relevant government agencies in singapore will be considered an asset. experience in negotiating and managing collaborative/funding agreements will be an advantage. strong relationship management skills with an outgoing and pleasant personality. demonstrated ability to communicate to internal and external stakeholders at all levels. excellent interpersonal and organizational skills, effective in oral and written communication. strategic thinking, innovative and creative in problem solving. the level of appointment offered will commensurate with candidate's experience. hiring institution: ntu ï»_n line with singapore__ nationwide vaccination-differentiated safe management measures (vds), employees must be fully vaccinated to return to the workplace, unless certified to be medically ineligible. for information on vds, please click here.",manager,manager,True
f&b service crew (near mrt),"work information full time: 5 days week (47 hours / week), 2 off days per week (no split shift) part time: $11/hour (depends on experience), flexible schedule 11am 10pm (full shift) / 11am 4pm (lunch shift) / 6pm 10pm (dinner shift) gross salary up to $2400 with ot (depends on experience) sales incentive staff meal provided no quota for work pass employment benefits annual salary increment performance bonus sales incentive annual leave medical leave medical benefits career advancement opportunities outlet teambuilding activities convenient work locations near mrt available work locations- (bedok mrt)- eastpoint mall (simei mrt)- waterway point (punggol mrt)- bukit timah shopping centre (beauty world mrt) summary of role requirements: looking for candidates available to work: monday: morning, afternoon, evening tuesday: morning, afternoon, evening wednesday: morning, afternoon, evening thursday: morning, afternoon, evening friday: morning, afternoon, evening saturday: morning, afternoon, evening sunday: morning, afternoon, evening 1 year of relevant work experience required for this role working rights required for this role expected salary: $11 - $12 per month",retail,food&restraurant,False
