id,job_ad,y_true
79746043,"job title: restaurant kitchen hand abstract: we are seeking experienced kitchen hand to join our hospitality team. employer: catering hq location: pitttown highlights: opportunity for growth, opportunity to work in an industry leading hospitality group, positive, fun and supportive work culture contents: we are currently searching for talented and polished full time kitchen hands to join our hospitality team. key duties thorough cleaning of the kitchen, including dishes and floors, food preparation assistance, stock rotation and stock control, ensuring to follow all health and safety procedures when caring out all tasks, any other adhoc duties as required by our fantastic chefs and management, operating a commercial dishwasher to a high standard, assist with general kitchen duties under the direction of the head chef. the person previous relevant experience in a high-volume catering/kitchen hand role is essential, commercial kitchen experience essential, knowledge of wh&s guidelines, able to work a variety of shifts including morning, afternoons, evenings, ability to take direction, flexible availability, youâ€™ll be a team player, fluent in english and have an eye for detail, weâ€™d love it if you brought knife skills!.",onsite
79796468,"job title: chef abstract: the carlin group pty ltd (country club hotel yea) is seeking a talented and passionate full-time chef to join our team. employer: carlin group pty ltd location: yea highlights: contents: country club hotel in victoria is seeking a talented chef to join our team. the ideal candidate will help maintain our hotelâ€™s strong reputation by delivering high-quality cuisine to our valued guests. this role requires a commitment of at least 38 hours per week. if you are passionate about creating exceptional dishes and contributing to a great dining experience, weâ€™d love to hear from you! key responsibilities: hereâ€™s a more polished and professional version of your list: 1. overseeing kitchen operations, ensuring dishes are prepared and plated according to the menu, and working on different sections (grill, fryers, larder and pass) from time to time as per the business demand. 2. maintaining high standards of food quality, consistency, and cleanliness at all times. daily execution of cleaning schedule to ensure compliancy with council regulations. 3. ensuring proper utilisation of kitchen equipment, including dishwashers, grills, ovens, and gas stoves. 4. managing proper storage and organisation of food products to maintain quality assurance. 5. monitoring and logging temperatures of cool rooms and refrigerators while organising raw ingredients appropriately. 6. training junior staff in kitchen procedures and best practices. 7. providing guidance on cooking techniques and offering advice on proper culinary procedures. requirements: 1. australian citizens and permanent residents are encouraged to apply and will be prioritised. 2. minimum diploma of hospitality and management level qualification. 3. minimum of 2 years of experience as a chef 4. excellent time management skills and working effectively in a team environment. 5. commitment to working a minimum of 38 hours per week. 6. advanced knowledge and ongoing awareness of culinary techniques and practices. salary: $73,150 aud - $75,000 per year plus superannuation. how to apply: please submit your resume and cover letter via the portal or email them to . only shortlisted candidates will be contacted. join our dynamic team and contribute to the culinary excellence of country club hotel. apply now!",onsite
80346773,"job title: accounting associate (au, nz, us experience) abstract: we prioritize, we deliver, we have fun and we support one another. employer: amped hq pty ltd location: - highlights: contents: amped hq is growing... fast!! we need the best of the best to come and contribute to our staff & clients. our accounting associate roles are critical to business growth, culture, and operations. the client is in the real estate industry based in new zealand, and you will have an integral part in the strategy, innovation, and shaping of the future of the company. with unprecedented client and employee retention, amped hq is out to disrupt the industry in opportunities for both clients and employees. bringing together the best talent, leadership & systems while fostering real relationships, personal & professional growth, and opportunities all in a fun environment has amped hq taking outsourcing & the industry norm to a new level. with our core values being, people first, innovation, and growth, you will have close proximity to senior management, access to powerful tools and resources, and growth opportunities for you to upskill in areas of your choice. responsibilities review and reconcile all financial accounts, ensuring accuracy and completeness., identify and correct discrepancies or errors in the financial records., organize historical financial data for ease of access and reference., manage accounts payable, including creating payment files and ensuring timely payments to vendors and suppliers., develop and implement standardized processes for regular bookkeeping and financial reporting., maintain updated and accurate financial records, including ledgers, invoices, receipts, and payroll., prepare monthly, quarterly, and annual financial statements and reports., assist in budget preparation and variance analysis., provide clear and concise financial information to management, enabling informed decision-making., develop dashboards and reports that simplify complex financial data for non-financial stakeholders., handle payroll processing using crystal payroll, ensuring timely and accurate compensation for all employees., conduct cash flow forecasting to predict future financial positions and prepare comprehensive cash flow reports., prepare and post journal entries to accurately reflect financial transactions and adjustments.. requirements bachelor's degree in accounting, finance, or a related field., with at least 3 years of relevant experience in accounting or bookkeeping, preferably in a bpo or similar industry., experience with nz, au and us accounting., strong understanding of accounting principles and financial regulations., proficiency in software such as xero and related tools., excellent attention to detail and organizational skills., strong analytical and problem-solving abilities., ability to communicate financial information effectively to non-financial stakeholders.. what's in it for you? amped hq is growing and taking a different approach to outsourcing. with a young leadership team and a focus on delivery, the shackles are off when it comes to planning your day. we prioritize, we deliver, we have fun and we support one another. our company goes above and beyond for their employees to ensure that there are: permanent work from home, complete wfh set-up, hmo coverage, statutory mandatory benefits (sss, pag-ibig, philhealth, 13th month pay), great career development opportunities, flexible working environment, energetic international team, cultural focus on staff health and wellness, close proximity to senior management, focus on personal development and growth, yearly appraisal, monthly gratitude event, competitive salary package. the application process consists of screening, an initial and second interview with hr, then a final interview. hit the apply button if you are interested and want to learn more. we look forward to meeting you!",remote
80015193,"job title: occupational therapist abstract: paediatric occupational therapist employer: launchpad therapy location: brisbane highlights: competitive salary packages + flexible working arrangements, professional growth opportunities - become a leader in our small business, $2000 pd allowance + additional annual leave contents: about this role this is an exciting opportunity for an occupational therapist to join our growing team. we are looking for someone who is passionate about making a difference in young peoples lives, and can make therapy fun and engaging! this role is open to early years therapists and experienced therapists alike. we can support both part-time and full-time applicants, where responsibilities and supervision can also be tailored to your individual needs. join us in helping little people reach the stars! benefits develop a schedule that works for your lifestyle! you will have flexibility with your calendar, with the options of a 9 day fortnight, half days, or weekend work if interested., flexible working arrangements mean that you can work from home and create your own hours., we guarantee a competitive salary, plus bonus. potential to earn above equivalent salary packages with amazing benefits!. professional development allowance of up to $2,000 per year, travel allowance provided, laptop, iphone and ipad provided, increased annual leave! take paid leave on your birthday, and additional paid annual leave can be provided.. we offer professional support and mentoring, and a high level of 1-on-1 supervision from experienced therapists, both within and external to our direct team., feel reassured that you can ease into your caseload, with no set billable hours!, professional growth opportunities - we'd love for you to become a leader within our team., extensive training will be provided to new graduates and early years therapists.. tasks & responsibilities you will work with families to develop child and family-centred goals and create individualised treatment plans. goal areas include fine motor, handwriting, gross motor, sensory processing, attention, behaviour management, social skills, play skills, self care, etc., we currently offer mobile services in brisbane and ipswich, where most face to face sessions are conducted within clients' homes and schools., you will have the opportunity to regularly liaise with other professionals involved in the child and family's care, where we place high value in a collaborative and multi-disciplinary approach to early intervention., make a difference by involving and educating parents, educators and other professionals. highlight the child's strengths as well as their areas of development in supporting them to achieve their developmental milestones. offer fun, engaging and evidence-based strategies and recommendations to help families get the most out of therapy.. qualifications & experience paediatric ot experience preferred, although new graduates and experienced ot's without paediatric experience are also welcome to apply, a degree in occupational therapy, registration with ahpra, or eligibility upon graduating, current valid drivers license & own reliable vehicle, first aid and cpr certification, or willing to obtain, ability and willingness to drive as required (up to 30 minutes) . learn more about our team at",hybrid
80292327,"job title: social media manager paid ads abstract: social media manager with expertise in paid ads campaig for facebook, tiktok and pinterest | au client + statutory benefits + hmo + bonus employer: your outdesk solutions corp location: - highlights: contents: we are seeking an experienced social media marketing manager with expertise in paid advertising and a strong focus on campaign setup and optimization for platforms like facebook, tiktok, and pinterest. as a key member of our marketing team, you will design and execute data-driven ad campaigns that drive brand awareness, traffic, and conversions. this role requires hands-on experience in creating, managing, and optimizing basic sales campaigns while leveraging analytics to improve performance and roi. responsibilities campaign development and execution plan, set up, and manage paid advertising campaigns on facebook, tiktok, and pinterest, focusing on driving sales and engagement., continuously optimize campaigns by adjusting targeting, creative, and bidding strategies to achieve performance goals., design simple yet effective sales funnels and ad structures tailored to each platform's strengths.. analytics and reporting use tools like meta business manager, pinterest ads manager, and tiktok ads manager to track and analyze campaign performance., prepare actionable reports detailing engagement metrics, conversions, and roi., provide insights and recommendations for improving campaign efficiency and budget utilization.. budget management allocate and manage advertising budgets effectively across multiple platforms., ensure all campaigns remain within budget while maximizing outcomes.. content collaboration work closely with the creative and content teams to develop visually engaging and impactful ad materials., align ad creative and messaging with campaign objectives and brand identity.. trend monitoring stay updated on the latest trends, tools, and platform features in paid social media advertising., identify new growth opportunities on emerging platforms and adopt best practices for campaign success.. stakeholder communication collaborate with internal teams and external partners to ensure campaigns are aligned with broader marketing and business strategies.. requirements proven experience at least 3 years of hands-on experience in social media marketing, with a focus on paid advertising., demonstrated success in setting up and optimizing ad campaigns on facebook, tiktok, and pinterest.. platform expertise strong proficiency in advertising tools like meta business manager, pinterest ads manager, and tiktok ads manager., experience managing campaigns on additional platforms such as instagram, linkedin, or google ads is a bonus.. analytical skills ability to analyze campaign data and translate insights into actionable improvements., proficiency in tools such as google analytics and platform-specific analytics dashboards.. creative and strategic thinking strong ability to create ad strategies that resonate with target audiences while meeting business goals., a track record of designing and executing effective sales campaigns.. desirable experience working with emerging social media platforms or international ad campaigns., certifications such as facebook blueprint or equivalent., skilled in google sheets, zapier, and other marketing automation tools.. education bachelorâ€™s degree in marketing, communications, or a related field is preferred.. work conditions time zone: australian business hours, location: must be a filipino residing in the philippines. about outdesk at outdesk, our mission is to bridge the gap between exceptional talent in the philippines and the dynamic business needs of our clients in australia. we are committed to delivering bespoke recruitment and comprehensive employment solutions that foster long-term success for both our clients and staff. employee benefits paid leave, 13th month pay, sss, philhealth, pag-ibig, bir, hmo.",remote
79624833,"job title: food production assistant abstract: stable monday to friday full-time role with on the job training in the food manufacturing industry. employer: ramasa fine foods location: marrickville highlights: contents: food production assistant about us located in marrickville (10 minutes walk from sydenham station), we are an australian wholly owned haccp accreditation company offering a full range of food manufacturing, processing, packaging and product recipe development services. over 30 years in the food industry. the position we invite a reliable, hands-on and enthusiastic applicant to join our production area. this person will work in a close team environment. on the job training will be provided. day to day work entails food preparation, packing and labelling food products, maintaining and updating production records, general cleaning. the position is a stable monday to friday full-time role with potential for overtime. the ideal candidate will have good communication skills, keen focus on accuracy and follows instructions/procedures well. about you physically fit and enjoys hands-on activities , excellent communication skills, strong attention to detail, sufficient reading skills to following procedures/instructions, ability to work towards targets and meet specific deadlines, energetic, positive and vibrant attitude, previous experience in food manufacturing or kitchen environment preferred but not essential, available to start immediately, must have reliable transportation, 8am start. your application will include the following: describes your right to work in australia, working with weights upto 25kg, previous work experience. job types: full-time, permanent salary: from $26.00 to $32 per hour (depending on experience) schedule: day shift please email your resume. we will only contact relevant applicants.",onsite
80178768,"job title: client success coach abstract: be a key part supporting growth by coaching clients through a structured program. wfh with clients virtually.career progression guaranteed. apply now employer: business benchmark group location: melbourne highlights: contents: about the business benchmark group the business benchmark group is a market-leading business coaching firm specialising in business owners who run $250k-$10m turnover companies in the trade and construction sector. we are passionate about what we do and are driven as much by the difference that we make to the lives of our clients (and their team) as the commercial results we produce. our impact within the small business sector is profound, demonstrated by our google reviews and constant positive feedback from clients position summary working in the client success team, you will look after a cluster of 200 clients. led by a head coach, you will be responsible for taking all new clients through our onboarding process and holding them accountable for doing the work by coaching them through their challenges to success. if you love coaching, holding people accountable and transforming people and businesses this is a job you will love. if you have the drive and determination to become a head coach and cluster leader within the next 24 months then this opportunity is for you as our business continues to grow. key responsibilities hold our clients accountable to â€˜doing the workâ€™ as laid out in our program deliverables and kpis. understand a clientâ€™s pain, challenges and frustrations and provide solutions using our playbooks of methodologies to overcome their blocks. provide exceptional customer service via phone/email/teams/zoom to our clients. follow our weekly diary rhythm and client deliverables to ensure all clients are fully supported update our crm daily to keep the team informed of progress. maintain accurate client records in our lms and crm care enough about our clientâ€™s success that you never, ever, give up on a client under any circumstances skills, experience, and knowledge: skills: mastery level coaching skills (one on one) expert level group coaching/facilitation skills preferred demonstrated ability to manage a minimum of 20 clients monthly track record of effecting behavioral change in clients resilience/empathy/never give up attitude high levels of personal organisation and a willingness to follow a process understanding of p&l and balance sheets preferred experience: must be comfortable with leading virtual meetings. coaching experience (min 2,000 hours), including: one-on-one coaching, leading groups, 30+ people, with multiple interactions each session, coaching in both soft/people skills and in hard/business skills, achieving behavioural change and business outcomes. group coaching/facilitation experience, 5+ years as a guide business experience (small business or corporate), 5+ years as a guide successful at creating rapport; structuring a session and achieving outcomes. experience with coaching calls via teams, zoom and the phone experienced in using hubspot crm platform (preferred) but familiarity with data bases and adaptability to learn and apply hubspot features are key requirements adaptability to live out processes, standards, and practices; to contribute to improvements as required. knowledge/ qualifications: tertiary education preferred accreditation as a coach, for example icf (international coaching federation, usa â€“ with an accredited coach education certification) a degree in coaching will be well regarded. familiarisation with the grow model or similar coaching models min 100+ hours of accredited coach training what's on offer? an opportunity to work within an environment that supports personal and professional growth. an opportunity to make a real difference to lives of the business owners we help and the lives of their teams â€“ you believe in the work and are motivated by the difference you are making in peopleâ€™s lives a real opportunity for career progression as a head coach as our client numbers grow. our culture is fast-paced, exciting and innovative. we are a close-knit team. we keep our three values of integrity, teamwork and continuous improvement alive each week. we offer a flexible work from home environment and in the virtual world we meet as a full team three times a week. become a part of a growing team of committed individuals who are willing to go the extra mile, who thrive on getting results and have an attitude of whatever it takes. how to apply if you feel that this is the opportunity for you, please apply now via seek, attaching your up-to-date resume and cover letter addressing these important points: why is coaching your chosen career path?, what motivates you personally, professionally, and financially?, what sets you apart as a coach?, how do you believe business benchmark group help you achieve your goals? .",hybrid
80048685,"job title: wfh next level seo implementor to revolutionise physiotherapy marketing abstract: work from home to drive transformative seo strategies as our expert, passionately shaping the future of physiotherapy marketing. employer: physiomarketing.co location: - highlights: use your passion for seo to drive change in the healthcare industry., work remotely with a dynamic team., innovate in seo for healthcare impact. contents: this is a wfh role and outside ncr applicants are welcome to apply. location: fully remote (stable internet connection essential). our mission: at physiomarketing.co, we champion the transformative power of physiotherapy. our goal is to amplify the importance and value of physiotherapy, helping clinics reach more patients and fundamentally shift public perceptions. as our seo expert, each strategy you deploy will forge part of this vital mission. description: we are seeking an seo specialist who lives, breathes, and dreams about seo. this isnâ€™t just a jobâ€”itâ€™s a calling for those who canâ€™t stop thinking about seo including leveraging every tool available, like search atlas and otto, to dramatically improve outcomes. this role is designed for someone who is not only passionate about making a significant impact in healthcare through expert marketing but also thrives on actively implementing innovative seo strategies that aim to triple organic conversions annually. hear from our team: iris, head of google ads, shares: ""physiomarketing.co has provided a supportive, collaborative environment from day one, emphasising work-life balance and professional growth. chazâ€™s approachability and receptiveness to ideas make communication rewarding."", charlie, seo specialist, says: ""being part of this family is enriching. chaz is more than a boss â€“ a speaker, a life coach, offering refreshing one-on-one sessions where we discuss life beyond work."". ideal candidate: your passion for seo is intense and all-consuming; you think about it all day and are eager to apply new ideas using tools like search atlas and otto., you are a dynamic implementer with a proven track record of turning strategies into successful outcomes., confident and bold, you are not deterred by the latest google algorithm changes; instead, youâ€™re ready to implement aggressive, out-of-the-box strategies that set new benchmarks.. key responsibilities: focus: your main job is to triple our organic conversions every year., using tools smartly: make the most of tools like search atlas and otto to meet our seo goals., working together: collaborate with both our team and external experts to pool knowledge and resources for the best results.. qualifications: strong background in seo with a track record of boosting traffic and conversions., skilled in using tools like search atlas and otto., great at both making plans and executing them., clear communicator, good at rallying the team.. we offer: a chance to use your skills where theyâ€™ll make a positive impact in physiotherapy., work from anywhere with our flexible remote setup., a competitive salary plus bonuses based on performance., a supportive team that values fun and collaboration., exclusive benefits for top performers., growth opportunities in a company where your work significantly impacts our mission.. application process: if you are driven by a mission to transform healthcare and see seo as your tool for change, apply now. weâ€™re seeking someone who embodies passion and actionâ€”ready to make real changes and see them through. equal opportunity: we're an equal opportunity employer. we celebrate diversity and are committed to creating an inclusive environment for all employees. apply now: are you ready to channel your seo passion into a role that truly matters? do you want to be part of a team thatâ€™s reshaping the world of physiotherapy marketing? if youâ€™re a doer, a thinker, and a relentless innovator, apply now and join us in making a tangible difference!",remote
79793029,"job title: software support /customer support consultant abstract: are you the 'go-to' person for all things tech for your family & friends? come join hammertech and have an impact on the lives of millions globally! employer: hammer technologies location: melbourne highlights: contents: who is hammertech? as constructionâ€™s most trusted safety platform, hammertech has a team focus where we build safer, smarter, better â€“ together. our workforce is committed to individual and team empowerment so that our innovative approach is sustained, the growth in our capability is continuous and we excel in enhancing safety within the construction industry. established in 2013, with the vision of becoming the international benchmark in online safety and quality management, hammertech is now the leading choice for large construction companies, in managing safety and quality. we serve 500+ contractors and the platform is used on over 20,000 live construction projects worldwide, with over 4.7 million workers having completed onboarding orientations via the platform to date. we have just raised $105m aud for our next phase of growth. what youâ€™ll do at hammertech the main purpose of this role is to become a hammertech expert so that assistance is provided in all facets of customer service, including responding to customer support tickets (both by phone and email). the role also involves the configuration of client environments, training, and implementation support. we have a rotating roster: 7 am â€“ 3:30 pm and 9:30 am â€“ 6 pm responsibilities provide phone and email support to clients, provide technical assistance to clients as required, apply application expertise to identify problems, investigate causes and recommend solutions to correct problems, assist in configuring client systems under the direction of implementation, update support articles as required, participate and lead in project work as required, undertake continuous improvement activities as directed and required. what we are looking for: customer support/help desk experience for a software company or equivalent commercial experience in a support role, analytical problem-solver with demonstrated experience in troubleshooting login issues and user-process issues, capacity to build and foster strong stakeholder relationships, capacity to manage competing priorities and meet agreed targets and timelines, a positive attitude â€˜can doâ€™ attitude. we recognize many of the skills weâ€™ve developed over our careers are often transferable. we believe that creativity, enthusiasm, and drive are the keys to success. if youâ€™re not sure you meet every qualification but feel you have other experience relevant to the role, we encourage you to apply. benefits at hammertech as a melbourne employee, youâ€™ll benefit from our balanced work-life culture with benefits including: flexible wfh arrangements â€“ we trust you!, generous training budget & career mapping opportunities, additional parental leave benefits, birthday leave, work anniversary rewards, team tune-up workshops, regular social events & employer-funded travel (including a social committee that helps to organise exciting events and clubs catering to various interests), beautiful cbd office with stocked kitchen, all within 3 minutesâ€™ walk from flinders station, opportunities to grow your career and make an impact quickly . hammertech values diversity and believes that our strength comes from including the perspectives of all kinds of contributors. we encourage people from underrepresented communities to apply, including racial minorities, lgbtqia+, and those with disabilities. accommodations are available during all stages of the recruitment process, please let us know of any needs we may not have accommodated.",hybrid
79590420,"job title: tele radiologist abstract: rewarding tele-radiology role with flexible remote work options. collaborate with healthcare teams and contribute to patient care. employer: carlisle health pty ltd location: sydney highlights: competitive rate, flexible work options, collaborative and professional team contents: job opportunity: tele-radiologist at carlisle health location: remote (australia) are you a passionate and skilled radiologist seeking a flexible opportunity to work from home? carlisle health is looking for a dedicated tele-radiologist to join our innovative teleradiology team, providing high-quality reporting services to patients across nsw & qld (including dws sites). about us: carlisle health is a trusted leader in radiology, delivering imaging services along the east coast of australia. we pride ourselves on state-of-the-art equipment, advanced technology, and exceptional service for our patients and referring doctors. key responsibilities - report on various imaging studies (x-rays, ct scans, mris, ultrasounds, etc.) - collaborate with referring physicians to ensure accurate and timely diagnoses. - contribute to quality improvement initiatives and stay updated with advancements in radiology. qualifications: - franzcr accreditation and ahpra specialist registration are required. - strong commitment to delivering superior clinical service. what we offer: - competitive rates and flexible working hours. - work from anywhere in australia. - opportunities for professional development and growth. - diverse clinical case mix. - access to an integrated pacs and ris system for efficient workflow. - continual professional development (cpd) opportunities and regular information sharing sessions. - supportive and collaborative team environment. how to apply: if youâ€™re ready to enhance patient care as a tele-radiologist from the comfort of your home, we want to hear from you! **to apply, please submit your resume to:** direct applications will be given priority over agency. casey hunt group radiologist support manager email: phone: join us in making a difference in patient care!",remote
