job_id,job_title,job_ad_details,nation_short_desc,y_true,LLM_answer,Accuracy
72527377,cashier (kota tinggi),bertanggungjawab sebagai cashier mengurus semua rekod mengenai cek yang diterima menyediakan laporan yang diperlukan oleh hq (jabatan akaun dan jabatan sumber manusia) kiraan stok bulanan semua kerja lain yang ditetapkan oleh pengurus cawangan dan supervisor pada bila-bila mengikut keperluan keperluan berkelulusan spm / o level / skm level 1 / skm level 2 / skm level 3 atau setaraf sedikit kemahiran tentang komputer menepati masa kerja overtime (jika diperlukan) gaji rm 1500 – 1800++ calon berminat boleh whatsapp 010-3938581 seng li marketing sdn bhd is a one-stop auto parts trading company salary : rm 1500 – 1800,my,1500-1800-myr-monthly,1500-1800-myr-monthly,True
73593343,學校派飯員,"編號 : 35-24-0004254 la 兼職 日期 : 01/02/2024 職位 : 學校派飯員 公司/僱主名稱 : 栢俐食品集團有限公司 地區 : 葵芳 行業 : 其他製造業 職責 : 負責派飯, 清垃圾, 推車送飯, 清潔保溫箱 資歷 : 小四程度; 一般粵語; 略懂讀寫中文; 工作時注重衞生, 有禮貌, 有責任心, 願意學習, 勤奮, 守時 待遇 : 每小時$60.00, 星期一至五: 上午11時半至下午2時半, 每週工作5天, 每天工作 3 小時 申請須知 : 求職者可致電61553300與栢俐食品集團有限公司黃小姐聯絡。 備註 : - 如何應徵？ 空缺咭上有僱主的聯絡資料（如電話號碼、傳真號碼或電郵地址等）： 請直接聯絡僱主求職 空缺咭上沒有僱主的聯絡資料： 請記下空缺編號 已登記的求職人士請 (a) 致電電話就業服務中心熱線 2969 0888 安排轉介， 或 (b) 親身到勞工處就業中心取籌安排轉介， 取籌先到先得，籌號派完即止 。星期一至五上午時段的籌號及下午時段的籌號分別於下午12時35分及下午5時15分停止派發，星期六的派籌時間至上午11時45分止。 （就業中心於午膳時間下午1時正至2時正不會提供就業轉介服務） 如求職人士尚未登記，請於網上登記或親身到就業中心登記，然後使用轉介服務 請按 求職資訊 參閱在求職及面試時須注意的事項。如須撰寫求職信及履歷表，可參考 求職信及履歷表範本 在接受聘用前，你應清楚知道僱主的身份，詳情可參閱「保存僱傭紀錄---僱員參考手冊」。 求職人士請注意： 空缺咭展示的職位空缺資料，包括職位名稱、職責內容、工作時間、薪金等，均是由僱主提供。如果求職人士在面試時，僱主提出不合理的要求，或所提供的僱傭條件與本處登記的資料不符，請盡快通知本處。為免墮入求職陷阱，在面試時應注意聘用條件（包括計薪方法、工資期、休息日安排等），了解職位的工作範圍及入職要求，並留意工作環境。此外，請特別留意工作性質及內容會否抵觸現行法例，切勿因急於求職而接受聘用從事非法工作。 僱主及職業介紹所向本處遞交職位招聘表時，已承諾會按照《最低工資條例》的規定，就任何工資期，支付不少於 法定最低工資 水平的工資予受聘有關職位並受《最低工資條例》涵蓋的人士 。 如你有合理懷疑僱主未有遵守《僱傭條例》、《僱員補償條例》、《最低工資條例》，可致電熱線2717 查詢。至於涉及《性別歧視條例》、《殘疾歧視條例》、《家庭崗位歧視條例》或《種族歧視條例》的查詢，請聯絡平等機會委員會。 根據《最低工資條例》的規定，僱主須就任何工資期，確保支付僱員不少於按下列方法計算的 最低工資 ： 最低工資=僱員於工資期的總工作時數 x 法定最低工資水平（即每小時40元1） 1由2023年5月1日起，法定最低工資水平已調升至每小時40元。 如就工資期須支付予僱員的工資少於最低工資，僱員有權就該工資期獲付這差額（即「額外報酬」）。該僱員的僱傭合約須視為他有權就該工資期獲得額外報酬，而該額外報酬亦適用於計算根據其他相關法例所應獲得的款項。 有關法定最低工資的定義及計算詳情，請瀏覽 《法定最低工資：僱主及僱員參考指引》或致電 24 小時查詢熱線 2717 1771（由「1823」接聽）。 為配合新高中學制，空缺展示的高中教育程度要求（若適用）如下： 中四至中六： 指新舊學制皆適用或同等學歷； 中七： 指舊學制中七程度或同等學歷。 有關新學制詳情，請瀏覽 334.edb.hkedcity.net 或 空缺資料中的部份內容可能經由本處提供中文翻譯，有關翻譯只應作參考之用。需要求職人士有閱讀英文能力的職位空缺內容或會以英文顯示。如有疑問，或欲以中文了解上述空缺資料的全部內容，請聯絡本處就業中心。已登記求職人士亦可致電電話就業服務中心熱線 2969 0888尋求協助。如空缺咭上有僱主的聯絡方法，你更可直接聯絡僱主查詢。 惡劣天氣下就業中心的開放安排 提防求職陷阱 如你於申請職位空缺時，遇到任何可疑的情況，請即與本處職員聯絡。有關提防求職陷阱的資訊，可瀏覽此網頁。",hk,60-60-hkd-hourly,60.00-60.00-hkd-hourly,False
51294698,skid steer operator/ truck driver (hc),"company: bitu-mill specializes in road profiling, asphalt paving, road rehabilitation, and civil infrastructure works. we pride ourselves on our diverse range of services within the road construction sector. drawing on over 30 years of industry experience we’ve built an exceptional team and have a reputation within the industry for delivering superior results that exceed expectations every time. servicing a wide range of clients from vicroads, local government and authorities to developers, builders, and other civil contractors, our team has the experience, knowledge, and capabilities to deliver all types of civil and infrastructure works including; road construction & reconstruction road rehabilitation & maintenance land development water infrastructure works structures sewer infrastructure electrical infrastructure sporting facilities we are seeking applications from suitably experienced and high performing candidates for skid steer/ truck driver (hc). this will be supporting our business in echuca! requirements: minimum 1-year work experience as skid steer operator/ truck driver (hc) willingness to regularly work away from home good verbal and written references to verify the above good attitude, willingness to be a leader in the field ability to think on your feet and make good decisions strong focus on safety construction industry card and appropriate tickets benefits: access to an employee assistance program generous salary rewarding workplace culture work-life balance does all the above suit what you are looking for? come join a team where our core values are people first. simply click apply now! alternatively, forward your resume to or call on 0428 511 587 . bitu-mill is an equal opportunity employer committed to diversity and inclusion. applications are strongly encouraged from aboriginal and torres strait islander people; people with a disability; people who identify as lgbtiq; and those from culturally and linguistically diverse backgrounds.",aus,0-0-none-none,0-0-none-none,True
56209744,business development manager,"we’re the p&n group, one of australia’s largest customer-owned banking organisations. driven by a genuine belief in the value of mutuality, we strive to achieve success on behalf of our customers, our communities and each other with passion, energy and commitment. with east and west coast presence, our group operates under a unique multi-brand model. the team comprises some 550 staff who work across one of our two retail banking brands (p&n bank in wa, and bcu in nsw and qld) or in group services that operates across the three states. we support our retail and business banking customers through a network of 36 branch locations, regional contact centres, mobile lending teams and online channels. group hq is in the perth cbd with regional offices in coffs harbour and brisbane. our group values innovation, agility and the ability to develop strong relationships. we work hard to create a contemporary banking experience for our customers while offering a collaborative, inclusive and engaging workplace where our people can learn, develop and thrive. we’ve recently embarked on an exciting and significant strategic and digital transformation to build a bank of the future for our current and future customers. and, we’re on the lookout for more talented people to join our team. p&n group is seeking an experienced business development manager to join our progressive team. reporting to the head of broker and business development and working closely with the wider p&n team, this key role will see you responsible for the overall sales, service and relationship management of allocated aggregator groups and individual brokers. a key requirement is ensuring service delivery and expectations of both brokers and members are met. as our ideal candidate you will have advanced credit assessment and end-to-end loan processing skills in the home lending field and can negotiate and workshop with internal and external stakeholders to ensure all viable options are explored to assist the member. your demonstrated experience in building and maintaining relationships in the broker market is essential along with a proactive attitude and a focus on providing exceptional customer service to crucial business partners.",aus,0-0-none-none,0-0-none-none,True
63825213,workplace and safety officer,"responsibilites this person will be working with individual head ops/fms to formulate risk assessment/health and safety audit plans for new and existing sites as per our hseq requirements and wsha to carry out regular audit checks to ensure that all sites comply with our hseq requirements and wsha. providing and maintaining a work environment that is safe, without risk to health and adequate as regards facilities and arrangements for the workpeople's welfare at work. developing and implementing procedures for dealing with emergencies that may arise while the workpeople at work. giving the workpeople all necessary information about the way the activities and operations on sites are conducted as might affect their safety or health while they are on site. requirements at least a diploma in workplace safety with 6 years of relevant experience wsho certification must be certified and approved by mom *only shortlisted candidates will be notified",sg,0-0-none-none,0-0-none-none,True
60150523,retail assistant,"retail assistants needed for fixed shifts work with a well-known women's fashion brand in their sylvia park location. providing assistance for the next 4 weeks, and with an opportunity to extend out. based in sylvia park $21.20 + 8% holiday pay hours: thursday, friday and saturday finishing at 7 pm, and most are midday starts. 4 week tempory role about you you have experience working in a fast-paced environment. you are reliable and have great communication skills. you are detail oriented, and people focussed. you are willing to commit to working the rostered hours. you will be supporting a friendly retail team during a busy period by looking after stock, keeping the shop tidy, welcoming customers, and helping with customer queries. if you are available asap and looking to work with a great team, apply now. or contact shavneel on 09 362 0781 for more information. at people2people and frog recruitment, everyone is welcome and as an inclusive workforce, we encourage our employees, clients, and candidates to showcase their authentic selves.",nz,21-21-nzd-hourly,21.20-21.20-nzd-hourly,False
62683210,qhse client manager,"job description: main role: planning and conducting assessment to the client's management system against the defined audit criteria: preparing assessment report and other related documents. submitting the report and following up the certification decision recommendation according to the bsi policy and procedure as well as the respective accreditation and regulatory requirements within the specified timeframe. develop and maintaining the assessor/tutor qualification: completing the planned resources development program. actively pacificate the sector's calibration meeting. supporting the sales driving program and activities related to sector's marketing campaign as well as assisting the commercial team as needed in audit duration estimation and any other technical issues for sales proposal preparation and joining sales meeting for technical discussion with the client. supporting any other activities as assigned by the sector manager which relevant with sector team needs and bsi group indonesia management direction. safeguarding company's and client's confidential data/information. acting as a bsi brand ambassador for bsi. what we offer: our excellence behaviours: client-centric, agile, collaborative. these three behaviours represent how we do things at bsi. they help us ensure that bsi is a great place to work and a highly successful business. bsi is conducting face-to-face interviews where appropriate and possible. if you are invited to a face-to-face interview but feel more comfortable with conducting the interview virtually, please speak to a member of our recruitment team. required profile: education: minimum bachelor's degree in engineering, natural science, social science or other relevant sectors. working experience : minimum 4 (four) years full time practical workplace experience in the relevant industries/services preferably in environmental services, manufacturing, mining, oil and gas, forestry, and engineering. at least 2 (two) years in a role or function relating to implementation of the relevant management systems in the relevant industries/services such as iso 9001/iso 14001/iso 45001, etc in environmental services, manufacturing, mining, oil and gas, forestry, and engineering. preferably having working experience relating to quality, health and safety, and environmental management system audits. technical qualification: preferably qualified lead auditor of iso 9001/iso 14001/iso 45001. have a good knowledge in the relevant standards such as iso 9001, iso 14001, and iso 45001. good understanding in legal, regulatory, and other requirements related to qhse management system standards. familiar with tools of analysis & problem-solving technic. having relevant professional certification would be an advantage. other qualification: excellent communication, presentation and interpersonal skills with ability to deal with people at all professional level. strong logical thinking, analytical and problem-solving skills. ability to work effectively with minimum supervision and under pressure. with a keen interest to learn and explore new knowledge and skills. a good command of english both verbal and written including ability to write clear and concise reports in english. relevant computer skill.",id,0-0-none-none,0-0-none-none,True
73252541,payroll lead,"an exciting payroll lead (x1 vacancy) has just become available at one of the international company based in bangkok. about the payroll lead role: in this business critical role you will be responsible for managing payroll and hris system to run accurately for both thai and expat employees. this role offers a competitive base salary with attractive benefits. key responsibilities: be the key person to ensure accuracy and timeliness of all businesses including plant and office sites act as the representative of the company to coordinate with external vendor for any mobility or tax issues of expat employees manage and organise data in hris system to be complete and up to date such as promotion, organisation change, termination or etc. work with related stakeholders to contact for any payroll, tax or data of hris issues monitor and suggest room for improvement for payroll or hris system to improve process or efficiency lead and train the team in terms of operation and also guide and provide solutions for any issues to succeed in the payroll lead role, you will need to have good knowledge in payroll for both thai and expat employees and good command of english. key requirements: minimum of 10 years' direct experience in payroll area is required, preferably from international company detailed oriented, good communication skill and able to work under pressure can work in a dynamic environment under pressure have experience leading team or junior staff have experience using success factor must have good command of english thai nationality this international firm needs no introduction and is recognised as the leader in their field of expertise. with great clients and known for their corporate entertainment, they've won many awards. the culture is demanding but if you are confident and have a can-do attitude the potential rewards are significant. the firm is also very focused on developing and training their people to the highest standards. if you are driven, determined and want to take the next step in your career, this is the role for you. great career progression opportunities await the right person in this exciting payroll lead job. apply today or call me to discuss this new opportunity due to the high volume of applications, our team will only be in touch if your application is shortlisted. robert walters recruitment (thailand) limited recruitment license no.: น. 1188 / 2551",th,0-0-none-none,0-0-none-none,True
79030770,activities officer,"activities officer| pinangba | ny-ku byun elders village, cherbourg • employment term: permanent part time • location: ny-ku byun elders village, cherbourg • remuneration: $32.42 p/hr + 11.5% super + not for profit salary packaging + penalties & allowances . make a meaningful difference with bluecare we’re looking for someone who wants to make the world a little better through small moments that leave big impacts. to build meaningful relationships and make a difference in the lives of others. an integral part of our big-hearted bluecare team, as a activities officer you’ll be encouraged to grow, develop and feel empowered to make the everyday easier for the people we care so passionately about. let’s make a meaningful difference, together. what makes a difference for you? with a blue nurses legacy dating back to 1953, bluecare is one of queensland’s largest and most trusted not-for-profit providers of community and in-home care, residential aged care, disability services and retirement living. flexible work arrangements to support work-life balance 12 weeks paid parental leave in addition to the government scheme access to salary packaging, meal and entertainment benefits - up to $15,900 per year tax free as well as up to $2,650 of your pre-tax income to pay for meal and entertainment benefits a recognition and rewards platform, providing employee discounts at hundreds of retailers, including everyday expenses, holidays, health insurance, a wellbeing program and employee assistance program a positive and inclusive team based on respect, shared standards, strong values and a commitment to serving others career development opportunities with one of the most trusted community and residential care providers in australia to challenge yourself, grow and make a meaningful difference your part in our blue care team make a meaningful difference with pinangba we’re looking for someone who wants to make the world a little better through small moments that leave big impacts. to build meaningful relationships and make a difference in the lives of others. an integral part of our big-hearted pinangba team, as an activities officer you’ll be encouraged to grow, develop and feel empowered to make the everyday easier for the people we care so passionately about. let’s make a meaningful difference, together. your part in our pinangba team as an activities officer you’ll develop, coordinate and lead activities for our residents aimed at fulfilling their social and recreational needs, supporting their independence and improving their quality of life. a key responsibility of this role will be to observe and record the effectiveness of the programs, by monitoring residents’ ongoing progress and adjusting the programs to any developing needs. you might also find yourself transporting residents (as requested and approved in pinangba vehicles) on outings and attending to resident/client personal care needs as required. what makes a difference for us? certificate iii aged care, home and community care, disability support or an equivalent qualification ndis workers screening clearance or willingness to obtain basic experience with technology incl. smartphones, tablets, laptops etc confidence to satisfy the relevant probity checks required by legislation or policies bluecare is proudly part of the unitingcare family, we’d love you to be too joining the state’s largest network of aged care workers with its over 8,000 strong, bright team in blue, you’ll also be welcomed as part of the unitingcare family. with more than 16,500 staff and 9,000 volunteers across our brands of bluecare, lifeline, arrcs, the wesley hospital, buderim private hospital, st stephen’s hospital, and st andrew’s war memorial hospital, you are part of something bigger. our team are compassionate, inclusive and committed to the work we do, helping people live life in all its fullness. start making a difference today our application process takes less than 15 minutes – click the ‘apply’ button to be taken to our online application process and upload your resume and cover letter. our team are available to answer any questions you may have. diversity & inclusion our approach is simple –everybody is welcome here. at unitingcare, diversity is at the core of our who we are, our mission and our values. we are committed to providing equal opportunities to all employees no matter their sex, race, culture, sexual orientation, disability or gender identity. demonstrating our commitment to reconciliation and building long-term employment opportunities for first nations peoples, unitingcare strongly encourages aboriginal and torres strait islander applicants for this position. safe workplace we work hard to make our services welcoming and safe for every person. we are united in keeping children, young people and the elderly safe from harm, within our services, workplaces and the communities we support. we are committed to speaking up loudly for their safety.",aus,32-32-aud-hourly,32.42-32.42-aud-hourly,False
68264916,"warehouse assistant (pembantu gudang / operator gudang - sg lokan, butterworth)","food manufacturing 5 working days/week willing to work at sg lokan, butterworth basic rm1500-rm2000, gross pay up to rm3000 skop kerja menerima dan mengesahkan semua bahan-bahan masuk mengikut keperluan standard haccp dan halal. memastikan penerimaan resit dan dokumentasi barangan yang betul. memastikan penghantaran barangan / stok kepada pelanggan dan kepada production tepat pada masanya pengiraan stok harian dan bulanan untuk semua bahan (yang mana berkenaan) dan barangan siap / finished goods. housekeeping/ pengemasan yang betul dan keadaan kerja yang selamat. memastikan bahan masuk / bahan mentah yang diterima daripada pembekal dalam keadaan baik dan bersih. memastikan semua palet bahan mentah /bahan-bahan disembur dengan racun serangga dalam gred makanan. memastikan lori dan kontena yang digunakan untuk pengangkutan barang berada dalam keadaan bersih dan keadaan lori yang sesuai syarat kemasukan : spm / sijil / diploma boleh kerja ot , boleh kerja syif. ada kenderaan sendiri dan lesen memandu. boleh berkerja di butterworth. boleh membawa forklift atau reach truck 1 jawatan kosong tetap. gaji pokok rm1500 - rm2000 (tidak termasuk elaun) caruman kwsp , perkeso, sip , group insurance & hospitalization diberikan. makanan dan minuman kanteen percuma / subsidi",my,2000-3000-myr-monthly,1500-2000-myr-monthly,False
